"Time (s)"	"Illuminance (lx)"
1.317374757E1	1.010000000E2
1.329382198E1	1.020000000E2
1.333384436E1	1.860000000E2
1.337385784E1	2.690000000E2
1.341388843E1	3.550000000E2
1.345391964E1	4.400000000E2
1.349394014E1	3.610000000E2
1.353394846E1	3.640000000E2
1.357395854E1	3.610000000E2
1.361396968E1	3.620000000E2
1.381405249E1	3.650000000E2
1.385408147E1	3.670000000E2
1.389410928E1	3.680000000E2
1.393412811E1	3.700000000E2
1.397414550E1	3.680000000E2
1.401416425E1	3.690000000E2
1.405418186E1	3.680000000E2
1.409419034E1	3.670000000E2
1.413419510E1	3.660000000E2
1.421421811E1	3.650000000E2
1.425421471E1	3.640000000E2
1.429422260E1	3.650000000E2
1.433422624E1	3.660000000E2
1.445425667E1	3.670000000E2
1.453426288E1	3.650000000E2
1.465430229E1	3.640000000E2
1.469428506E1	5.180000000E2
1.473426675E1	6.730000000E2
1.481425932E1	8.310000000E2
1.485424452E1	8.340000000E2
1.489426428E1	8.370000000E2
1.493430135E1	8.380000000E2
1.505436776E1	8.360000000E2
1.509437827E1	8.370000000E2
1.513438776E1	8.320000000E2
1.529445698E1	8.330000000E2
1.533446850E1	8.360000000E2
1.545450514E1	8.380000000E2
1.549451319E1	8.390000000E2
1.553452542E1	8.350000000E2
1.557455534E1	1.112000000E3
1.561458303E1	8.330000000E2
1.565459116E1	5.540000000E2
1.569459714E1	2.770000000E2
1.573459506E1	0.000000000E0
1.661480018E1	1.000000000E0
1.681480159E1	0.000000000E0
1.733499807E1	1.000000000E0
1.745500339E1	0.000000000E0
